0.000040,0.000039
0.000042,0.000039
0.000026,0.000028
0.000041,0.000039
0.000041,0.000039
0.000038,0.000042
0.000027,0.000028
0.000019,0.000021
0.000019,0.000019
0.000019,0.000020
0.000025,0.000029
0.000040,0.000038
0.000040,0.000050
0.000040,0.000040
0.000040,0.000037
0.000041,0.000039
0.000040,0.000038
0.000025,0.000028
0.000040,0.000038
0.000025,0.000028
0.000025,0.000028
0.000025,0.000029
0.000025,0.000029
0.000040,0.000040
0.000025,0.000027
0.000041,0.000037
0.000041,0.000038
0.000041,0.000037
0.000041,0.000037
0.000025,0.000025
0.000026,0.000027
0.000019,0.000021
0.000033,0.000032
0.000019,0.000021
0.000018,0.000021
0.000018,0.000022
0.000017,0.000021
0.000017,0.000020
0.000018,0.000021
0.000018,0.000021
0.000019,0.000022
0.000018,0.000021
0.000018,0.000021
0.000018,0.000021
0.000018,0.000022
0.000041,0.000039
0.000026,0.000026
0.000025,0.000029
0.000025,0.000029
0.000040,0.000039
0.000024,0.000029
0.000025,0.000030
0.000024,0.000031
0.000025,0.000030
0.000040,0.000043
0.000025,0.000028
0.000041,0.000039
0.000040,0.000039
0.000018,0.000019
0.000040,0.000039
0.000025,0.000028
0.000041,0.000039
0.000040,0.000040
0.000025,0.000028
0.000040,0.000039
0.000046,0.000040
0.000047,0.000040
0.000023,0.000022
0.000030,0.000030
0.000048,0.000040
0.000041,0.000039
0.000045,0.000046
0.000036,0.000045
0.000025,0.000028
0.000059,0.000059
